name,x,class,Log 2 Fol-Change,transcript_length,GC_content (%),sense,chromosomE
ENST00000634673.1,ENST00000634673.1,Cytosol,-0.122599542,547,0.385740402,antisense,chromosome_name18
ENST00000633779.1,ENST00000633779.1,Cytosol,-2.281601248,486,0.427983539,antisense,chromosome_name10
ENST00000633182.1,ENST00000633182.1,Cytosol,-1.505370847,556,0.56294964,antisense,chromosome_name1
ENST00000633140.1,ENST00000633140.1,Cytosol,-0.350312175,710,0.456338028,antisense,chromosome_name1
ENST00000632794.1,ENST00000632794.1,Cytosol,-1.107720096,583,0.542024014,antisense,chromosome_name10
ENST00000631830.1,ENST00000631830.1,Cytosol,-0.77886304,455,0.542857143,antisense,chromosome_name12
ENST00000631314.2,ENST00000631314.2,Nuclear,5.316863252,462,0.532467532,antisense,chromosome_name20
ENST00000631299.1,ENST00000631299.1,Nuclear,4.003054702,616,0.436688312,antisense,chromosome_name3
ENST00000631285.2,ENST00000631285.2,Cytosol,-0.200509835,992,0.352822581,antisense,chromosome_name3
ENST00000631208.2,ENST00000631208.2,Nuclear,4.087621718,693,0.457431457,antisense,chromosome_name2
ENST00000631170.2,ENST00000631170.2,Nuclear,3.104013264,734,0.482288828,antisense,chromosome_name2
ENST00000631117.2,ENST00000631117.2,Nuclear,3.273530689,870,0.455172414,antisense,chromosome_name7
ENST00000631110.2,ENST00000631110.2,Cytosol,-1.543113455,851,0.524089307,antisense,chromosome_name2
ENST00000631085.2,ENST00000631085.2,Cytosol,-2.192792962,525,0.453333333,antisense,chromosome_name10
ENST00000631080.2,ENST00000631080.2,Nuclear,3.486147402,1707,0.376098418,antisense,chromosome_name13
ENST00000630975.2,ENST00000630975.2,Cytosol,-0.152878052,931,0.499462943,antisense,chromosome_name2
ENST00000630930.2,ENST00000630930.2,Nuclear,3.369862842,750,0.429333333,antisense,chromosome_name3
ENST00000630898.2,ENST00000630898.2,Nuclear,3.185531275,670,0.453731343,antisense,chromosome_name2
ENST00000630801.1,ENST00000630801.1,Cytosol,-0.263441979,656,0.394817073,antisense,chromosome_name5
ENST00000630762.2,ENST00000630762.2,Cytosol,-0.330147946,751,0.443408788,antisense,chromosome_name3
ENST00000630759.2,ENST00000630759.2,Nuclear,3.557901257,891,0.484848485,antisense,chromosome_name2
ENST00000630623.2,ENST00000630623.2,Nuclear,3.152719356,383,0.472584856,antisense,chromosome_name2
ENST00000630589.2,ENST00000630589.2,Nuclear,2.843640705,895,0.530726257,antisense,chromosome_name3
ENST00000630520.2,ENST00000630520.2,Cytosol,-0.176551915,893,0.484882419,antisense,chromosome_name2
ENST00000630508.2,ENST00000630508.2,Nuclear,3.798352361,912,0.54495614,antisense,chromosome_name1
ENST00000630476.1,ENST00000630476.1,Cytosol,-2.907541234,718,0.522284123,antisense,chromosome_name7
ENST00000630436.2,ENST00000630436.2,Nuclear,3.620160048,1009,0.432111001,antisense,chromosome_name1
ENST00000630361.2,ENST00000630361.2,Nuclear,3.710439269,849,0.446407538,antisense,chromosome_name2
ENST00000630335.2,ENST00000630335.2,Nuclear,2.827805671,346,0.531791908,antisense,chromosome_name3
ENST00000630315.2,ENST00000630315.2,Cytosol,-0.698103398,821,0.427527406,antisense,chromosome_name3
ENST00000630125.2,ENST00000630125.2,Cytosol,-0.206282755,617,0.38897893,antisense,chromosome_name1
ENST00000629989.2,ENST00000629989.2,Nuclear,2.824146214,1265,0.411067194,antisense,chromosome_name13
ENST00000629988.2,ENST00000629988.2,Nuclear,3.323759867,488,0.43852459,antisense,chromosome_name13
ENST00000629973.2,ENST00000629973.2,Nuclear,3.116942261,698,0.484240688,antisense,chromosome_name2
ENST00000629943.2,ENST00000629943.2,Nuclear,3.363664839,725,0.467586207,antisense,chromosome_name2
ENST00000629904.2,ENST00000629904.2,Cytosol,-0.127182452,1951,0.536135315,antisense,chromosome_name2
ENST00000629837.2,ENST00000629837.2,Nuclear,4.736952425,377,0.50132626,antisense,chromosome_name6
ENST00000629828.1,ENST00000629828.1,Cytosol,-2.111511589,790,0.65443038,antisense,chromosome_name3
ENST00000629825.2,ENST00000629825.2,Cytosol,-0.874241554,778,0.479434447,antisense,chromosome_name2
ENST00000629819.2,ENST00000629819.2,Nuclear,3.707223285,580,0.555172414,antisense,chromosome_name2
ENST00000629782.2,ENST00000629782.2,Nuclear,2.997804852,717,0.414225941,antisense,chromosome_name7
ENST00000629766.2,ENST00000629766.2,Nuclear,3.783105871,653,0.456355283,antisense,chromosome_name6
ENST00000629760.2,ENST00000629760.2,Cytosol,-1.885812866,648,0.408950617,antisense,chromosome_name2
ENST00000629722.2,ENST00000629722.2,Nuclear,4.843594103,637,0.412872841,antisense,chromosome_name2
ENST00000629546.2,ENST00000629546.2,Nuclear,3.169903434,658,0.487841945,antisense,chromosome_name2
ENST00000629483.2,ENST00000629483.2,Nuclear,4.194677664,923,0.439869989,antisense,chromosome_name2
ENST00000629441.1,ENST00000629441.1,Cytosol,-1.967421313,1572,0.489821883,antisense,chromosome_name11
ENST00000629416.2,ENST00000629416.2,Nuclear,3.960813489,456,0.504385965,antisense,chromosome_name3
ENST00000629296.2,ENST00000629296.2,Nuclear,2.851004768,438,0.506849315,antisense,chromosome_name3
ENST00000629276.2,ENST00000629276.2,Nuclear,3.15995641,670,0.431343284,antisense,chromosome_name9
ENST00000629211.2,ENST00000629211.2,Nuclear,3.205277112,428,0.521028037,antisense,chromosome_name7
ENST00000629188.2,ENST00000629188.2,Cytosol,-0.808743549,705,0.455319149,antisense,chromosome_name2
ENST00000629161.1,ENST00000629161.1,Cytosol,-0.55212752,743,0.378196501,antisense,chromosome_name9
ENST00000629126.2,ENST00000629126.2,Cytosol,-1.60590788,937,0.423692636,antisense,chromosome_name3
ENST00000629058.1,ENST00000629058.1,Cytosol,-0.131096404,1903,0.565423016,antisense,chromosome_name20
ENST00000629014.2,ENST00000629014.2,Nuclear,3.680280761,795,0.535849057,antisense,chromosome_name7
ENST00000628939.2,ENST00000628939.2,Nuclear,4.20910679,585,0.420512821,antisense,chromosome_name6
ENST00000628896.2,ENST00000628896.2,Cytosol,-0.40896859,711,0.461322082,antisense,chromosome_name1
ENST00000628891.2,ENST00000628891.2,Cytosol,-0.424930417,798,0.383458647,antisense,chromosome_name3
ENST00000628831.2,ENST00000628831.2,Nuclear,3.291447556,507,0.504930966,antisense,chromosome_name3
ENST00000628826.2,ENST00000628826.2,Nuclear,5.194824065,662,0.401812689,antisense,chromosome_name2
ENST00000628667.2,ENST00000628667.2,Cytosol,-2.539268287,745,0.500671141,antisense,chromosome_name2
ENST00000628648.2,ENST00000628648.2,Nuclear,3.10815665,586,0.447098976,antisense,chromosome_name2
ENST00000628601.2,ENST00000628601.2,Nuclear,3.176214006,731,0.50752394,antisense,chromosome_name3
ENST00000628580.2,ENST00000628580.2,Nuclear,4.695693215,649,0.600924499,antisense,chromosome_name2
ENST00000628464.2,ENST00000628464.2,Nuclear,3.051693182,1315,0.422813688,antisense,chromosome_name2
ENST00000628455.2,ENST00000628455.2,Nuclear,3.083991644,361,0.526315789,antisense,chromosome_name2
ENST00000628442.1,ENST00000628442.1,Nuclear,3.615649749,550,0.470909091,antisense,chromosome_name22
ENST00000628431.2,ENST00000628431.2,Cytosol,-1.109699424,625,0.3664,antisense,chromosome_name3
ENST00000628308.2,ENST00000628308.2,Nuclear,3.1491211,996,0.492971888,antisense,chromosome_name2
ENST00000628291.2,ENST00000628291.2,Nuclear,2.897014892,325,0.510769231,antisense,chromosome_name3
ENST00000628253.2,ENST00000628253.2,Cytosol,-0.194717352,775,0.464516129,antisense,chromosome_name3
ENST00000628225.2,ENST00000628225.2,Nuclear,3.501996285,503,0.473161034,antisense,chromosome_name1
ENST00000628165.2,ENST00000628165.2,Nuclear,2.879700533,269,0.550185874,antisense,chromosome_name2
ENST00000628135.3,ENST00000628135.3,Cytosol,-2.431751757,601,0.577371048,antisense,chromosome_name2
ENST00000628097.2,ENST00000628097.2,Nuclear,3.872641118,216,0.578703704,antisense,chromosome_name2
ENST00000628068.1,ENST00000628068.1,Cytosol,-0.829149541,918,0.351851852,antisense,chromosome_name3
ENST00000628047.1,ENST00000628047.1,Cytosol,-0.112043059,876,0.479452055,antisense,chromosome_name6
ENST00000627996.2,ENST00000627996.2,Nuclear,4.152442614,622,0.459807074,antisense,chromosome_name1
ENST00000627886.2,ENST00000627886.2,Cytosol,-1.484607405,2027,0.480019734,antisense,chromosome_name10
ENST00000627799.2,ENST00000627799.2,Cytosol,-3.650308127,790,0.440506329,antisense,chromosome_name1
ENST00000627771.1,ENST00000627771.1,Nuclear,3.42472026,695,0.309352518,antisense,chromosome_name10
ENST00000627669.1,ENST00000627669.1,Nuclear,3.079139885,762,0.49343832,antisense,chromosome_name10
ENST00000627661.2,ENST00000627661.2,Nuclear,4.294017372,806,0.462779156,antisense,chromosome_name2
ENST00000627657.2,ENST00000627657.2,Nuclear,3.30288942,311,0.498392283,antisense,chromosome_name2
ENST00000627630.2,ENST00000627630.2,Nuclear,2.949456132,666,0.512012012,antisense,chromosome_name2
ENST00000627551.2,ENST00000627551.2,Nuclear,4.257973129,1129,0.599645704,antisense,chromosome_name3
ENST00000627540.2,ENST00000627540.2,Nuclear,4.323084215,662,0.483383686,antisense,chromosome_name2
ENST00000627527.1,ENST00000627527.1,Nuclear,4.685865752,784,0.366071429,antisense,chromosome_name2
ENST00000627496.2,ENST00000627496.2,Nuclear,5.309698204,807,0.408921933,antisense,chromosome_name3
ENST00000627453.2,ENST00000627453.2,Nuclear,4.061258884,656,0.414634146,antisense,chromosome_name17
ENST00000627336.2,ENST00000627336.2,Nuclear,4.273805973,772,0.422279793,antisense,chromosome_name2
ENST00000627325.2,ENST00000627325.2,Nuclear,3.045435638,673,0.506686478,antisense,chromosome_name2
ENST00000627265.1,ENST00000627265.1,Nuclear,3.433423349,769,0.468140442,antisense,chromosome_name10
ENST00000627210.2,ENST00000627210.2,Cytosol,-0.190896008,225,0.497777778,antisense,chromosome_name2
ENST00000627180.2,ENST00000627180.2,Nuclear,7.202088387,945,0.410582011,antisense,chromosome_name1
ENST00000627172.2,ENST00000627172.2,Nuclear,3.857283859,995,0.474371859,antisense,chromosome_name2
ENST00000627161.2,ENST00000627161.2,Nuclear,3.043070009,634,0.570977918,antisense,chromosome_name7
ENST00000627142.2,ENST00000627142.2,Nuclear,3.775508355,549,0.453551913,antisense,chromosome_name5
ENST00000627043.1,ENST00000627043.1,Nuclear,4.211677355,500,0.488,antisense,chromosome_name2
ENST00000626954.2,ENST00000626954.2,Nuclear,3.609290655,864,0.416666667,antisense,chromosome_name2
ENST00000626933.1,ENST00000626933.1,Nuclear,3.774915114,695,0.526618705,antisense,chromosome_name21
ENST00000626869.2,ENST00000626869.2,Nuclear,4.11547937,665,0.323308271,antisense,chromosome_name3
ENST00000626842.2,ENST00000626842.2,Cytosol,-0.002817894,741,0.51417004,antisense,chromosome_name2
ENST00000626816.2,ENST00000626816.2,Nuclear,6.193422445,659,0.420333839,antisense,chromosome_name6
ENST00000626779.2,ENST00000626779.2,Nuclear,3.272905647,381,0.469816273,antisense,chromosome_name13
ENST00000626773.2,ENST00000626773.2,Nuclear,3.203535604,564,0.492907801,antisense,chromosome_name9
ENST00000626771.1,ENST00000626771.1,Nuclear,5.258339286,509,0.406679764,antisense,chromosome_name2
ENST00000626762.2,ENST00000626762.2,Nuclear,2.994124837,401,0.438902743,antisense,chromosome_name2
ENST00000626683.2,ENST00000626683.2,Nuclear,4.447286058,565,0.532743363,antisense,chromosome_name2
ENST00000626674.2,ENST00000626674.2,Nuclear,3.700198523,910,0.424175824,antisense,chromosome_name2
ENST00000626608.2,ENST00000626608.2,Nuclear,4.185594508,376,0.558510638,antisense,chromosome_name1
ENST00000626558.2,ENST00000626558.2,Cytosol,-1.713714871,699,0.473533619,antisense,chromosome_name2
ENST00000626526.1,ENST00000626526.1,Nuclear,4.581099562,793,0.350567465,antisense,chromosome_name3
ENST00000626521.1,ENST00000626521.1,Nuclear,3.381253175,561,0.509803922,antisense,chromosome_name3
ENST00000626509.2,ENST00000626509.2,Cytosol,-0.663170206,738,0.494579946,antisense,chromosome_name2
ENST00000626479.1,ENST00000626479.1,Nuclear,4.024818443,4800,0.561666667,antisense,chromosome_name1
ENST00000626440.2,ENST00000626440.2,Cytosol,-1.233607042,461,0.509761388,antisense,chromosome_name2
ENST00000626439.1,ENST00000626439.1,Cytosol,-1.265597246,255,0.494117647,antisense,chromosome_name3
ENST00000626387.2,ENST00000626387.2,Nuclear,2.953445085,473,0.418604651,antisense,chromosome_name2
ENST00000626306.1,ENST00000626306.1,Nuclear,3.209100265,428,0.514018692,antisense,chromosome_name3
ENST00000626245.1,ENST00000626245.1,Nuclear,3.105749033,451,0.578713969,antisense,chromosome_name7
ENST00000626200.2,ENST00000626200.2,Nuclear,3.779986594,2073,0.355041003,antisense,chromosome_name15
ENST00000625883.2,ENST00000625883.2,Cytosol,-1.875120897,1485,0.443097643,antisense,chromosome_nameX
ENST00000625841.1,ENST00000625841.1,Nuclear,3.531971003,518,0.424710425,antisense,chromosome_name2
ENST00000625818.1,ENST00000625818.1,Nuclear,3.640971611,465,0.455913978,antisense,chromosome_name13
ENST00000625815.2,ENST00000625815.2,Cytosol,-2.049025393,520,0.421153846,antisense,chromosome_name6
ENST00000625718.2,ENST00000625718.2,Cytosol,-4.642749575,640,0.48125,antisense,chromosome_name2
ENST00000625710.2,ENST00000625710.2,Cytosol,-0.788166854,786,0.409669211,antisense,chromosome_name3
ENST00000625679.2,ENST00000625679.2,Cytosol,-0.806882683,968,0.411157025,antisense,chromosome_name2
ENST00000625565.2,ENST00000625565.2,Nuclear,3.5903827,597,0.448911223,antisense,chromosome_name7
ENST00000625550.2,ENST00000625550.2,Nuclear,5.037233432,898,0.489977728,antisense,chromosome_name2
ENST00000625533.2,ENST00000625533.2,Cytosol,-2.558508699,743,0.352624495,antisense,chromosome_name3
ENST00000625515.2,ENST00000625515.2,Cytosol,-2.123552533,776,0.382731959,antisense,chromosome_name3
ENST00000625480.2,ENST00000625480.2,Nuclear,3.448903003,633,0.466034755,antisense,chromosome_name2
ENST00000625440.2,ENST00000625440.2,Nuclear,3.802297673,704,0.517045455,antisense,chromosome_name2
ENST00000625355.1,ENST00000625355.1,Cytosol,-2.805580952,784,0.382653061,antisense,chromosome_name3
ENST00000625353.1,ENST00000625353.1,Nuclear,2.822587474,811,0.471023428,antisense,chromosome_name6
ENST00000625348.2,ENST00000625348.2,Nuclear,2.889934958,571,0.42206655,antisense,chromosome_name2
ENST00000625324.2,ENST00000625324.2,Nuclear,3.921759315,862,0.401392111,antisense,chromosome_name2
ENST00000625265.1,ENST00000625265.1,Nuclear,3.090828049,1066,0.493433396,antisense,chromosome_name10
ENST00000625257.2,ENST00000625257.2,Cytosol,-0.756671119,648,0.489197531,antisense,chromosome_name2
ENST00000625227.2,ENST00000625227.2,Cytosol,-0.242892546,743,0.488559892,antisense,chromosome_name2
ENST00000625221.1,ENST00000625221.1,Nuclear,4.012930583,805,0.416149068,antisense,chromosome_name2
ENST00000625209.2,ENST00000625209.2,Cytosol,-3.547636944,389,0.573264781,antisense,chromosome_name1
ENST00000625168.1,ENST00000625168.1,Cytosol,-1.034942826,3078,0.444769331,antisense,chromosome_name10
ENST00000625128.3,ENST00000625128.3,Cytosol,-3.59718946,504,0.509920635,antisense,chromosome_name5
ENST00000624566.1,ENST00000624566.1,Cytosol,-0.170614701,577,0.556325823,antisense,chromosome_name5
ENST00000624456.1,ENST00000624456.1,Nuclear,3.673358823,2203,0.413980935,antisense,chromosome_name13
ENST00000624139.3,ENST00000624139.3,Cytosol,-3.800841065,722,0.458448753,antisense,chromosome_name5
ENST00000624080.1,ENST00000624080.1,Nuclear,2.935170329,822,0.49270073,antisense,chromosome_name21
ENST00000624061.1,ENST00000624061.1,Nuclear,2.92612143,646,0.419504644,antisense,chromosome_name3
ENST00000624054.1,ENST00000624054.1,Cytosol,-0.329962631,1939,0.603403816,antisense,chromosome_nameX
ENST00000624012.1,ENST00000624012.1,Nuclear,3.040537099,1047,0.568290353,antisense,chromosome_name1
ENST00000623673.1,ENST00000623673.1,Cytosol,-6.759433359,1663,0.553217078,antisense,chromosome_name5
ENST00000623579.3,ENST00000623579.3,Cytosol,-0.69016251,651,0.55453149,antisense,chromosome_name21
ENST00000623430.1,ENST00000623430.1,Cytosol,-2.508008348,886,0.601580135,antisense,chromosome_name19
ENST00000623360.1,ENST00000623360.1,Cytosol,-0.612615565,2129,0.573978394,antisense,chromosome_name15
ENST00000623175.3,ENST00000623175.3,Cytosol,-2.549760937,401,0.46882793,antisense,chromosome_name10
ENST00000623174.1,ENST00000623174.1,Cytosol,-1.10365691,1268,0.595425868,antisense,chromosome_name6
ENST00000623109.1,ENST00000623109.1,Nuclear,3.386087816,451,0.472283814,antisense,chromosome_name5
ENST00000622929.1,ENST00000622929.1,Cytosol,-0.559758161,1569,0.577437859,antisense,chromosome_name8
ENST00000622796.1,ENST00000622796.1,Cytosol,-1.588489339,419,0.606205251,antisense,chromosome_name17
ENST00000622716.1,ENST00000622716.1,Cytosol,-2.010997363,1255,0.436653386,antisense,chromosome_name10
ENST00000622689.1,ENST00000622689.1,Nuclear,2.806546288,534,0.501872659,antisense,chromosome_name10
ENST00000622628.1,ENST00000622628.1,Cytosol,-1.4750328,974,0.630390144,antisense,chromosome_name20
ENST00000622438.1,ENST00000622438.1,Nuclear,3.742135781,1686,0.570581257,antisense,chromosome_name14
ENST00000622324.4,ENST00000622324.4,Nuclear,4.460516192,448,0.511160714,antisense,chromosome_name1
ENST00000622171.1,ENST00000622171.1,Nuclear,4.852271304,207,0.560386473,antisense,chromosome_name21
ENST00000621997.1,ENST00000621997.1,Cytosol,-0.811408546,464,0.618534483,antisense,chromosome_name13
ENST00000621900.1,ENST00000621900.1,Cytosol,-0.761989703,632,0.460443038,antisense,chromosome_name10
ENST00000621598.1,ENST00000621598.1,Nuclear,2.873799932,424,0.45990566,antisense,chromosome_name17
ENST00000621523.1,ENST00000621523.1,Cytosol,-0.144063789,1217,0.589975349,antisense,chromosome_name15
ENST00000621428.1,ENST00000621428.1,Cytosol,-1.962753408,1462,0.607387141,antisense,chromosome_name17
ENST00000621378.1,ENST00000621378.1,Cytosol,-1.844395235,795,0.608805031,antisense,chromosome_name16
ENST00000621254.1,ENST00000621254.1,Nuclear,2.942814571,727,0.557083906,antisense,chromosome_name10
ENST00000621190.1,ENST00000621190.1,Nuclear,4.175331471,766,0.519582245,antisense,chromosome_name22
ENST00000621019.2,ENST00000621019.2,Cytosol,-1.104346214,1521,0.566732413,antisense,chromosome_name14
ENST00000620594.1,ENST00000620594.1,Cytosol,-1.656919169,508,0.505905512,antisense,chromosome_name20
ENST00000620490.1,ENST00000620490.1,Nuclear,3.501345865,1937,0.420237481,antisense,chromosome_name10
ENST00000620432.1,ENST00000620432.1,Cytosol,-0.010946843,654,0.480122324,antisense,chromosome_name10
ENST00000620420.1,ENST00000620420.1,Nuclear,4.96120897,872,0.34059633,antisense,chromosome_name4
ENST00000620411.1,ENST00000620411.1,Nuclear,3.545414539,596,0.521812081,antisense,chromosome_name6
ENST00000620302.1,ENST00000620302.1,Cytosol,-2.189512958,501,0.49500998,antisense,chromosome_name10
ENST00000620192.1,ENST00000620192.1,Nuclear,4.376173379,3815,0.392136304,antisense,chromosome_name15
ENST00000620177.4,ENST00000620177.4,Cytosol,-1.082296549,554,0.59566787,antisense,chromosome_name2
ENST00000620144.1,ENST00000620144.1,Cytosol,-0.573190469,563,0.564831261,antisense,chromosome_name17
ENST00000620056.4,ENST00000620056.4,Nuclear,2.846693534,701,0.456490728,antisense,chromosome_name17
ENST00000620050.1,ENST00000620050.1,Cytosol,-2.038189477,752,0.36037234,antisense,chromosome_name2
ENST00000620020.1,ENST00000620020.1,Cytosol,-0.695020136,440,0.445454545,antisense,chromosome_name17
ENST00000619867.4,ENST00000619867.4,Nuclear,3.370738568,3088,0.393134715,antisense,chromosome_name1
ENST00000619774.1,ENST00000619774.1,Cytosol,-1.376632879,450,0.575555556,antisense,chromosome_name19
ENST00000619697.1,ENST00000619697.1,Cytosol,-1.67433036,1419,0.505285412,antisense,chromosome_name17
ENST00000619666.1,ENST00000619666.1,Cytosol,-0.649795347,1101,0.551316985,antisense,chromosome_name13
ENST00000619654.1,ENST00000619654.1,Nuclear,4.421916665,520,0.419230769,antisense,chromosome_name15
ENST00000619560.1,ENST00000619560.1,Cytosol,-0.57450008,1315,0.556653992,antisense,chromosome_name12
ENST00000619334.1,ENST00000619334.1,Cytosol,-0.257933575,591,0.538071066,antisense,chromosome_name17
ENST00000619200.1,ENST00000619200.1,Cytosol,-1.26565631,948,0.597046414,antisense,chromosome_name20
ENST00000619147.4,ENST00000619147.4,Nuclear,3.374545814,257,0.463035019,antisense,chromosome_name6
ENST00000619110.1,ENST00000619110.1,Nuclear,3.315413275,700,0.328571429,antisense,chromosome_name10
ENST00000618971.1,ENST00000618971.1,Cytosol,-1.509343716,317,0.372239748,antisense,chromosome_name10
ENST00000618844.1,ENST00000618844.1,Cytosol,-0.62628702,1793,0.555493586,antisense,chromosome_name13
ENST00000618824.1,ENST00000618824.1,Nuclear,3.801552578,433,0.454965358,antisense,chromosome_name15
ENST00000618820.1,ENST00000618820.1,Nuclear,4.734192175,513,0.573099415,antisense,chromosome_nameX
ENST00000618776.1,ENST00000618776.1,Nuclear,3.31925254,567,0.379188713,antisense,chromosome_name15
ENST00000618757.4,ENST00000618757.4,Nuclear,4.47279282,2347,0.486578611,antisense,chromosome_nameX
ENST00000618632.1,ENST00000618632.1,Nuclear,4.098458967,396,0.424242424,antisense,chromosome_name5
ENST00000618431.1,ENST00000618431.1,Cytosol,-1.117582115,1130,0.469911504,antisense,chromosome_name14
ENST00000618407.1,ENST00000618407.1,Cytosol,-0.859447965,486,0.559670782,antisense,chromosome_name17
ENST00000618276.1,ENST00000618276.1,Nuclear,2.978375251,2112,0.616950758,antisense,chromosome_name7
ENST00000618186.4,ENST00000618186.4,Cytosol,-3.891280777,402,0.470149254,antisense,chromosome_name7
ENST00000618027.1,ENST00000618027.1,Cytosol,-0.292522286,521,0.322456814,antisense,chromosome_name16
ENST00000617990.4,ENST00000617990.4,Cytosol,-0.357488864,702,0.541310541,antisense,chromosome_name17
ENST00000617980.1,ENST00000617980.1,Cytosol,-0.377245218,408,0.571078431,antisense,chromosome_name14
ENST00000617969.1,ENST00000617969.1,Cytosol,-0.555109174,520,0.615384615,antisense,chromosome_name16
ENST00000617914.1,ENST00000617914.1,Nuclear,3.229997632,470,0.508510638,antisense,chromosome_name17
ENST00000617855.1,ENST00000617855.1,Cytosol,-1.570867486,482,0.585062241,antisense,chromosome_name17
ENST00000617854.1,ENST00000617854.1,Nuclear,3.222843962,3955,0.488242731,antisense,chromosome_name21
ENST00000617833.1,ENST00000617833.1,Nuclear,3.878717989,660,0.398484848,antisense,chromosome_name18
ENST00000617759.1,ENST00000617759.1,Nuclear,3.600315022,563,0.39964476,antisense,chromosome_name16
ENST00000617509.4,ENST00000617509.4,Cytosol,-1.971735442,627,0.550239234,antisense,chromosome_name2
ENST00000617353.1,ENST00000617353.1,Nuclear,4.989076807,725,0.433103448,antisense,chromosome_name6
ENST00000617303.4,ENST00000617303.4,Nuclear,3.856725078,578,0.482698962,antisense,chromosome_name22
ENST00000617183.1,ENST00000617183.1,Nuclear,4.737451652,678,0.609144543,antisense,chromosome_name12
ENST00000617009.4,ENST00000617009.4,Nuclear,2.8589619,630,0.507936508,antisense,chromosome_name22
ENST00000617006.1,ENST00000617006.1,Cytosol,-3.135320138,1229,0.631407648,antisense,chromosome_name19
ENST00000616999.1,ENST00000616999.1,Nuclear,3.365452804,600,0.348333333,antisense,chromosome_name14
ENST00000616965.1,ENST00000616965.1,Nuclear,3.886939606,607,0.453047776,antisense,chromosome_name5
ENST00000616896.1,ENST00000616896.1,Nuclear,3.978620234,331,0.32326284,antisense,chromosome_name17
ENST00000616796.4,ENST00000616796.4,Cytosol,-1.668593759,712,0.542134831,antisense,chromosome_name7
ENST00000616786.1,ENST00000616786.1,Nuclear,3.52239273,434,0.396313364,antisense,chromosome_name13
ENST00000616755.1,ENST00000616755.1,Cytosol,-0.633298374,206,0.257281553,antisense,chromosome_name17
ENST00000616485.4,ENST00000616485.4,Nuclear,5.367829395,2420,0.533884298,antisense,chromosome_name4
ENST00000616341.1,ENST00000616341.1,Cytosol,-0.02131569,490,0.557142857,antisense,chromosome_name17
ENST00000616339.4,ENST00000616339.4,Nuclear,5.667429,561,0.415329768,antisense,chromosome_name4
