name,class,Log 2 Fol-Change
ENST00000508358.1,Nuclear,3.526756958
ENST00000635484.1,Nuclear,3.011774094
ENST00000566572.1,Nuclear,3.06430117
ENST00000441759.1,Nuclear,3.942184718
ENST00000624363.1,Nuclear,2.889290121
ENST00000418918.5,Nuclear,4.229143997
ENST00000585880.1,Nuclear,3.140222187
ENST00000428273.1,Nuclear,3.411217417
ENST00000508099.5,Nuclear,3.920358859
ENST00000624536.1,Nuclear,3.33640059
ENST00000420572.2,Nuclear,4.271676293
ENST00000444936.2,Nuclear,3.45956766
ENST00000556736.5,Nuclear,4.41422347
ENST00000539026.1,Nuclear,3.491024876
ENST00000550909.1,Nuclear,2.83128418
ENST00000457108.1,Nuclear,3.552983137
ENST00000443162.1,Nuclear,4.299446366
ENST00000445076.1,Nuclear,3.235658469
ENST00000455286.1,Nuclear,5.423114679
ENST00000567465.1,Nuclear,3.479809577
ENST00000572790.1,Nuclear,4.066184947
ENST00000428669.6,Nuclear,3.545468975
ENST00000606287.1,Nuclear,3.474339972
ENST00000599801.5,Nuclear,3.004038086
ENST00000624100.1,Nuclear,2.971226898
ENST00000432130.1,Nuclear,3.61981543
ENST00000437947.1,Nuclear,4.189450765
ENST00000605586.1,Nuclear,6.702867264
ENST00000580580.1,Nuclear,4.291850943
ENST00000446964.1,Nuclear,3.257034986
ENST00000603827.1,Nuclear,5.774081616
ENST00000556346.1,Nuclear,3.446569739
ENST00000542805.1,Nuclear,4.156682767
ENST00000580134.1,Nuclear,2.83386331
ENST00000602838.1,Nuclear,4.296226169
ENST00000503140.1,Nuclear,2.800304723
ENST00000552098.1,Nuclear,3.70261508
ENST00000523121.1,Nuclear,2.988070215
ENST00000519680.1,Nuclear,3.980705466
ENST00000608077.1,Nuclear,2.800518207
ENST00000576824.5,Nuclear,3.09738207
ENST00000600249.5,Nuclear,3.148531969
ENST00000513017.1,Nuclear,4.33503286
ENST00000548665.5,Nuclear,3.090043396
ENST00000419881.6,Nuclear,3.912413197
ENST00000592747.1,Nuclear,2.951174805
ENST00000568093.3,Nuclear,3.212801455
ENST00000414890.1,Nuclear,4.33148525
ENST00000588900.5,Nuclear,2.885895516
ENST00000522618.1,Nuclear,3.957141776
ENST00000632154.1,Nuclear,3.521737409
ENST00000442017.1,Nuclear,3.068024704
ENST00000528614.1,Nuclear,2.872193603
ENST00000455709.1,Nuclear,3.606554857
ENST00000600693.5,Nuclear,2.844672507
ENST00000557618.1,Nuclear,3.357873911
ENST00000512873.1,Nuclear,3.004902266
ENST00000595135.5,Nuclear,3.091736324
ENST00000570167.1,Nuclear,3.449319618
ENST00000623987.1,Nuclear,3.702175468
ENST00000412654.1,Nuclear,3.799919689
ENST00000422681.1,Nuclear,4.097542919
ENST00000615831.1,Nuclear,3.245295922
ENST00000416076.1,Nuclear,3.022959145
ENST00000560280.1,Nuclear,2.974246939
ENST00000627195.2,Nuclear,4.732623794
ENST00000379050.2,Nuclear,4.58187092
ENST00000586591.1,Nuclear,3.718485796
ENST00000420224.1,Nuclear,2.95385319
ENST00000572792.1,Nuclear,3.991952811
ENST00000395152.3,Nuclear,3.659440392
ENST00000613992.4,Nuclear,3.312092417
ENST00000624521.1,Nuclear,4.915713938
ENST00000507558.1,Nuclear,4.372309192
ENST00000618776.1,Nuclear,3.31925254
ENST00000527100.1,Nuclear,3.061720729
ENST00000618536.4,Nuclear,2.949204197
ENST00000419441.1,Nuclear,2.830427397
ENST00000642018.1,Nuclear,4.640950893
ENST00000448377.3,Nuclear,4.17280634
ENST00000565133.1,Nuclear,4.385936783
ENST00000623695.1,Nuclear,2.9990376
ENST00000513802.1,Nuclear,3.426438058
ENST00000421889.1,Nuclear,4.198444622
ENST00000627661.2,Nuclear,4.294017372
ENST00000434541.1,Nuclear,2.896658034
ENST00000641806.1,Nuclear,4.044790458
ENST00000424788.1,Nuclear,4.019689444
ENST00000608788.5,Nuclear,2.994266535
ENST00000561037.5,Nuclear,3.760199238
ENST00000422415.2,Nuclear,3.331067137
ENST00000628148.2,Nuclear,5.219570533
ENST00000604258.5,Nuclear,4.941281159
ENST00000609120.1,Nuclear,3.556518979
ENST00000511091.1,Nuclear,3.058352967
ENST00000602500.1,Nuclear,3.379721779
ENST00000504773.1,Nuclear,3.478633398
ENST00000588197.1,Nuclear,4.114110056
ENST00000628455.2,Nuclear,3.083991644
ENST00000568057.1,Nuclear,2.900849867
ENST00000573856.1,Nuclear,3.175064161
ENST00000540904.1,Nuclear,5.27252831
ENST00000635495.1,Nuclear,4.658785904
ENST00000609352.5,Nuclear,3.324453541
ENST00000602587.5,Nuclear,3.592775871
ENST00000635687.1,Nuclear,3.219388236
ENST00000416261.1,Nuclear,2.932484682
ENST00000420417.3,Nuclear,3.209826958
ENST00000566922.1,Nuclear,2.980882841
ENST00000635002.1,Nuclear,4.925569244
ENST00000623625.1,Nuclear,2.854898213
ENST00000506195.1,Nuclear,6.734450676
ENST00000594329.5,Nuclear,2.846910068
ENST00000528466.1,Nuclear,3.373273353
ENST00000610936.4,Nuclear,3.237626853
ENST00000433125.1,Nuclear,3.00590521
ENST00000576454.1,Nuclear,2.894249069
ENST00000518031.1,Nuclear,3.602301511
ENST00000420449.1,Nuclear,2.826410204
ENST00000544842.1,Nuclear,4.365617423
ENST00000504074.1,Nuclear,2.836007554
ENST00000431979.1,Nuclear,3.660877622
ENST00000453784.2,Nuclear,3.20629195
ENST00000457043.1,Nuclear,3.03925799
ENST00000623273.1,Nuclear,4.052204079
ENST00000427373.5,Nuclear,3.271813169
ENST00000573040.1,Nuclear,3.012923538
ENST00000531155.1,Nuclear,3.973369461
ENST00000623633.1,Nuclear,3.463250561
ENST00000594843.1,Nuclear,3.456707291
ENST00000514241.1,Nuclear,3.348283791
ENST00000450854.1,Nuclear,3.954792262
ENST00000609396.3,Nuclear,3.109788263
ENST00000560853.5,Nuclear,4.151916819
ENST00000609756.1,Nuclear,4.102236772
ENST00000623027.1,Nuclear,3.114219393
ENST00000583141.1,Nuclear,3.074037448
ENST00000468575.1,Nuclear,3.95793071
ENST00000606229.1,Nuclear,3.108842142
ENST00000506911.1,Nuclear,2.883981813
ENST00000629014.2,Nuclear,3.680280761
ENST00000637702.1,Nuclear,3.65877343
ENST00000628097.2,Nuclear,3.872641118
ENST00000443919.1,Nuclear,2.883374248
ENST00000366397.3,Nuclear,3.162766004
ENST00000592187.1,Nuclear,4.272639739
ENST00000517655.1,Nuclear,3.102553353
ENST00000581944.1,Nuclear,3.051942548
ENST00000602488.5,Nuclear,3.713489135
ENST00000606930.1,Nuclear,2.809494426
ENST00000556475.1,Nuclear,4.703561409
ENST00000554323.1,Nuclear,6.285795984
ENST00000514288.5,Nuclear,3.185820148
ENST00000545958.1,Nuclear,3.055011217
ENST00000566195.1,Nuclear,3.086157408
ENST00000513767.3,Nuclear,2.911491538
ENST00000623838.1,Nuclear,3.688448624
ENST00000502400.5,Nuclear,4.007880526
ENST00000570217.1,Nuclear,2.986241698
ENST00000594721.1,Nuclear,3.680626681
ENST00000555106.1,Nuclear,3.411694402
ENST00000624990.1,Nuclear,3.319109553
ENST00000549055.1,Nuclear,2.820959309
ENST00000481368.6,Nuclear,2.817651537
ENST00000421632.1,Nuclear,5.061752088
ENST00000623722.1,Nuclear,3.562640889
ENST00000621190.1,Nuclear,4.175331471
ENST00000434786.2,Nuclear,4.483710338
ENST00000602916.1,Nuclear,2.952732998
ENST00000514297.2,Nuclear,3.368945302
ENST00000438755.1,Nuclear,3.717444576
ENST00000608313.5,Nuclear,4.464963413
ENST00000586139.5,Nuclear,2.925652215
ENST00000428263.1,Nuclear,2.828360694
ENST00000635680.1,Nuclear,3.945775307
ENST00000472243.2,Nuclear,3.453990419
ENST00000624971.1,Nuclear,4.501535813
ENST00000607033.5,Nuclear,5.113409462
ENST00000541039.5,Nuclear,3.127089816
ENST00000559977.1,Nuclear,5.222390895
ENST00000458282.2,Nuclear,6.931019626
ENST00000583579.1,Nuclear,3.101561802
ENST00000556708.1,Nuclear,3.875805898
ENST00000504820.1,Nuclear,4.469037306
ENST00000421851.1,Nuclear,3.564486067
ENST00000553644.1,Nuclear,6.881425102
ENST00000567953.1,Nuclear,4.224065512
ENST00000416455.1,Nuclear,3.119343858
ENST00000601985.5,Nuclear,3.922309768
ENST00000560602.1,Nuclear,4.724442312
ENST00000445226.1,Nuclear,4.79316277
ENST00000414488.5,Nuclear,3.076704955
ENST00000520037.1,Nuclear,3.114614517
ENST00000567488.1,Nuclear,3.395815706
ENST00000584036.1,Nuclear,4.696600366
ENST00000590241.1,Nuclear,3.292698361
ENST00000411804.1,Nuclear,3.511284638
ENST00000625075.1,Nuclear,3.83321554
ENST00000457565.1,Nuclear,3.25198953
ENST00000628291.2,Nuclear,2.897014892
ENST00000612960.4,Nuclear,4.390209049
ENST00000602277.1,Nuclear,4.728556912
ENST00000554687.1,Nuclear,2.888737317
ENST00000598902.5,Nuclear,3.500494198
ENST00000593218.1,Nuclear,3.118168503
ENST00000626869.2,Nuclear,4.11547937
ENST00000511916.2,Nuclear,3.453785376
ENST00000440013.1,Nuclear,4.224055564
ENST00000591091.1,Nuclear,6.463080434
ENST00000608023.5,Nuclear,4.194700892
ENST00000603491.1,Nuclear,4.466680601
ENST00000618734.1,Nuclear,3.608783123
ENST00000617529.1,Nuclear,3.064621996
ENST00000425776.1,Nuclear,3.898147188
ENST00000574483.1,Nuclear,4.123802419
ENST00000623549.1,Nuclear,2.80178692
ENST00000610060.1,Nuclear,3.873154776
ENST00000623072.1,Nuclear,3.553615833
ENST00000382313.2,Nuclear,3.892130099
ENST00000515003.1,Nuclear,3.788864023
ENST00000380145.1,Nuclear,3.840349357
ENST00000606195.1,Nuclear,3.392246586
ENST00000523791.1,Nuclear,3.372750248
ENST00000589227.1,Nuclear,3.268068296
ENST00000622917.1,Nuclear,3.901780742
ENST00000441459.1,Nuclear,3.010181744
ENST00000414976.1,Nuclear,2.908475592
ENST00000467050.1,Nuclear,2.834868452
ENST00000602979.1,Nuclear,3.266391205
ENST00000616338.1,Nuclear,3.495589297
ENST00000376609.1,Nuclear,3.568189916
ENST00000641734.1,Nuclear,3.19570855
ENST00000436557.5,Nuclear,4.169067909
ENST00000421624.1,Nuclear,3.698731962
ENST00000511547.6,Nuclear,3.250549226
ENST00000434974.1,Nuclear,2.935233953
ENST00000555300.1,Nuclear,3.402147044
ENST00000550301.1,Nuclear,3.357568758
ENST00000505775.5,Nuclear,3.011133221
ENST00000627771.1,Nuclear,3.42472026
ENST00000614505.1,Nuclear,3.499334758
ENST00000563417.1,Nuclear,4.196461674
ENST00000430027.3,Nuclear,3.139193646
ENST00000505032.5,Nuclear,3.934320646
ENST00000535689.5,Nuclear,2.963408785
ENST00000519700.1,Nuclear,4.096130711
ENST00000423414.5,Nuclear,3.824155726
ENST00000508640.1,Nuclear,3.040988115
ENST00000564618.1,Nuclear,4.208146038
ENST00000422842.1,Nuclear,2.926503935
ENST00000569467.1,Nuclear,4.635542744
ENST00000454508.1,Nuclear,3.466325223
ENST00000594418.1,Nuclear,2.950928711
ENST00000618749.1,Nuclear,3.589747032
ENST00000501122.2,Nuclear,3.341525106
ENST00000564206.1,Nuclear,2.802221247
ENST00000533232.5,Nuclear,3.662850989
ENST00000641335.1,Nuclear,3.164749248
ENST00000586324.1,Nuclear,5.808978321
ENST00000332440.3,Nuclear,3.397242778
ENST00000632624.1,Nuclear,3.224131227
ENST00000549516.1,Nuclear,3.17932485
ENST00000603643.1,Nuclear,4.150446316
ENST00000417672.1,Nuclear,5.668526736
ENST00000341866.3,Nuclear,3.306040437
ENST00000612390.4,Nuclear,4.112570305
ENST00000527113.1,Nuclear,3.007447536
ENST00000586706.5,Nuclear,4.066289589
ENST00000573622.1,Nuclear,4.705419136
ENST00000587619.1,Nuclear,2.931867623
ENST00000610155.5,Nuclear,4.685359169
ENST00000544036.1,Nuclear,3.017150053
ENST00000554726.1,Nuclear,3.593125134
ENST00000625074.1,Nuclear,2.835703925
ENST00000598327.3,Nuclear,4.470580834
ENST00000617854.1,Nuclear,3.222843962
ENST00000541870.1,Nuclear,2.832116291
ENST00000611364.1,Nuclear,3.292814624
ENST00000515769.1,Nuclear,3.926288198
ENST00000599109.5,Nuclear,2.948371681
ENST00000568843.1,Nuclear,4.527612343
ENST00000624345.1,Nuclear,3.471264651
ENST00000624727.1,Nuclear,4.91377449
ENST00000537965.5,Nuclear,4.114767521
ENST00000631080.2,Nuclear,3.486147402
ENST00000530000.1,Nuclear,3.242496025
ENST00000551699.5,Nuclear,4.421621668
ENST00000613401.1,Nuclear,2.991567503
ENST00000558601.1,Nuclear,4.475347684
ENST00000616339.4,Nuclear,5.667429
ENST00000487977.1,Nuclear,3.129123241
ENST00000610941.4,Nuclear,3.7132496
ENST00000566440.1,Nuclear,2.880712003
ENST00000427610.1,Nuclear,3.602110472
ENST00000412149.1,Nuclear,4.449435378
ENST00000624655.1,Nuclear,3.480289507
ENST00000630436.2,Nuclear,3.620160048
ENST00000564305.1,Nuclear,3.144096848
ENST00000503349.1,Nuclear,4.247833169
ENST00000607861.1,Nuclear,2.908463595
ENST00000457025.5,Nuclear,4.406068497
ENST00000414875.2,Nuclear,2.938402963
ENST00000639047.1,Nuclear,2.874807446
ENST00000419347.1,Nuclear,3.66934762
ENST00000594086.2,Nuclear,3.093838443
ENST00000608767.1,Nuclear,3.547063782
ENST00000610109.1,Nuclear,2.827538651
ENST00000607296.1,Nuclear,2.932775426
ENST00000430555.5,Nuclear,3.740774353
ENST00000442419.1,Nuclear,3.695186071
ENST00000602456.1,Nuclear,7.418450674
ENST00000603037.2,Nuclear,3.244587149
ENST00000538430.1,Nuclear,4.117170958
ENST00000412647.2,Nuclear,3.707144906
ENST00000512939.1,Nuclear,3.112681405
ENST00000479311.1,Nuclear,2.829772919
ENST00000440522.1,Nuclear,3.216928052
ENST00000442062.1,Nuclear,5.29421398
ENST00000439545.1,Nuclear,3.11391567
ENST00000556734.1,Nuclear,3.053873198
ENST00000522838.1,Nuclear,3.26901141
ENST00000593588.1,Nuclear,3.049027722
ENST00000444729.1,Nuclear,3.669286293
ENST00000623355.1,Nuclear,3.963990323
ENST00000422178.1,Nuclear,4.249184107
ENST00000594101.3,Nuclear,3.767764751
ENST00000558209.1,Nuclear,4.635813106
ENST00000585351.1,Nuclear,2.866435648
ENST00000437983.2,Nuclear,3.513156271
ENST00000635492.1,Nuclear,2.974150845
ENST00000473776.1,Nuclear,4.098553999
ENST00000543848.1,Nuclear,3.091837789
ENST00000641091.1,Nuclear,3.382316781
ENST00000582096.1,Nuclear,3.694618134
ENST00000636028.1,Nuclear,3.226870415
ENST00000606818.1,Nuclear,3.223725262
ENST00000634462.1,Nuclear,3.202458731
ENST00000488000.6,Nuclear,3.974492972
ENST00000614612.1,Nuclear,3.647510094
ENST00000451355.2,Nuclear,3.543951824
ENST00000592252.1,Nuclear,3.643039583
ENST00000526947.1,Nuclear,3.451678375
ENST00000431486.1,Nuclear,4.488708053
ENST00000433732.2,Nuclear,5.525696114
ENST00000455474.5,Nuclear,3.963067182
ENST00000627545.2,Nuclear,3.689703346
ENST00000616485.4,Nuclear,5.367829395
ENST00000608665.1,Nuclear,3.946157335
ENST00000441942.6,Nuclear,3.902363916
ENST00000301683.7,Nuclear,2.921991608
ENST00000521411.2,Nuclear,3.302951422
ENST00000413945.5,Nuclear,4.031225867
ENST00000627309.1,Nuclear,3.322265219
ENST00000543334.5,Nuclear,4.296461165
ENST00000457274.1,Nuclear,2.9286436
ENST00000522771.8,Nuclear,4.073587035
ENST00000548775.1,Nuclear,4.019642618
ENST00000420905.1,Nuclear,3.346430771
ENST00000623477.1,Nuclear,3.822336561
ENST00000595747.5,Nuclear,4.479664466
ENST00000510536.5,Nuclear,4.674383334
ENST00000453936.1,Nuclear,2.82679799
ENST00000523884.1,Nuclear,3.665765112
ENST00000438574.1,Nuclear,4.004580004
ENST00000417123.1,Nuclear,2.876921399
ENST00000623678.1,Nuclear,5.866205876
ENST00000534165.1,Nuclear,4.202708975
ENST00000524059.5,Nuclear,4.72034044
ENST00000602992.1,Nuclear,3.17674619
ENST00000513011.2,Nuclear,3.022543255
ENST00000500262.1,Nuclear,3.315791307
ENST00000606034.1,Nuclear,3.979801643
ENST00000445682.2,Nuclear,4.39075598
ENST00000596632.1,Nuclear,5.432473358
ENST00000508845.1,Nuclear,3.073110451
ENST00000553985.1,Nuclear,3.362304798
ENST00000532315.1,Nuclear,4.518639741
ENST00000550272.1,Nuclear,3.170866323
ENST00000458139.1,Nuclear,5.234398211
ENST00000607405.1,Nuclear,3.906907714
ENST00000583250.1,Nuclear,3.900099103
ENST00000430525.5,Nuclear,3.513311358
ENST00000506412.1,Nuclear,3.037416185
ENST00000559165.1,Nuclear,2.955081577
ENST00000565061.2,Nuclear,3.348726862
ENST00000626583.2,Nuclear,3.226586482
ENST00000621778.1,Nuclear,2.929094457
ENST00000631858.1,Nuclear,3.112550961
ENST00000589128.1,Nuclear,3.698692181
ENST00000417465.1,Nuclear,2.986842914
ENST00000513755.1,Nuclear,2.988903331
ENST00000433905.2,Nuclear,6.551560653
ENST00000565111.1,Nuclear,3.914899269
ENST00000557335.1,Nuclear,2.886916048
ENST00000482142.5,Nuclear,3.679294007
ENST00000571452.1,Nuclear,3.384781686
ENST00000641860.1,Nuclear,4.152606302
ENST00000508959.1,Nuclear,3.481109912
ENST00000596584.4,Nuclear,5.083955412
ENST00000587933.1,Nuclear,3.631302971
ENST00000431827.1,Nuclear,3.006279301
ENST00000533109.6,Nuclear,5.06100185
ENST00000631117.2,Nuclear,3.273530689
ENST00000522859.5,Nuclear,3.804044848
ENST00000616029.2,Nuclear,3.032085845
ENST00000429398.5,Nuclear,3.146705189
ENST00000624030.1,Nuclear,3.240442527
ENST00000619187.4,Nuclear,3.436459787
ENST00000582616.1,Nuclear,2.86564782
ENST00000634853.1,Nuclear,4.156414509
ENST00000611235.4,Nuclear,3.339248654
ENST00000636210.1,Nuclear,2.883431922
ENST00000622792.1,Nuclear,2.917008909
ENST00000630930.2,Nuclear,3.369862842
ENST00000606785.1,Nuclear,4.572258886
ENST00000602602.1,Nuclear,4.750286401
ENST00000594428.6,Nuclear,3.29582567
ENST00000635306.1,Nuclear,2.983223209
ENST00000614011.1,Nuclear,3.110897362
ENST00000619653.1,Nuclear,3.823426716
ENST00000515720.1,Nuclear,3.196173582
ENST00000513926.1,Nuclear,4.071178896
ENST00000564919.1,Nuclear,2.940755298
ENST00000548969.5,Nuclear,3.075501305
ENST00000590823.2,Nuclear,4.188842405
ENST00000511407.1,Nuclear,3.732449973
ENST00000609463.1,Nuclear,2.824961981
ENST00000418420.1,Nuclear,3.156940362
ENST00000586209.1,Nuclear,3.30867353
ENST00000556200.1,Nuclear,2.974281616
ENST00000419697.1,Nuclear,3.014894227
ENST00000451905.4,Nuclear,2.95121153
ENST00000604354.1,Nuclear,3.265359615
ENST00000450989.5,Nuclear,4.149628914
ENST00000506416.1,Nuclear,3.572330065
ENST00000625550.2,Nuclear,5.037233432
ENST00000457302.2,Nuclear,3.399049325
ENST00000454784.9,Nuclear,3.033019452
ENST00000428780.2,Nuclear,3.523222715
ENST00000592429.1,Nuclear,4.038904389
ENST00000622979.1,Nuclear,2.988153539
ENST00000606346.1,Nuclear,4.349229034
ENST00000503989.1,Nuclear,4.003163354
ENST00000624998.1,Nuclear,3.00366853
ENST00000629257.1,Nuclear,4.182274816
ENST00000444985.6,Nuclear,3.718773529
ENST00000477984.1,Nuclear,3.463370059
ENST00000458107.3,Nuclear,3.234694518
ENST00000596663.5,Nuclear,3.291576201
ENST00000641153.1,Nuclear,3.487321319
ENST00000590069.1,Nuclear,2.985905085
ENST00000419707.2,Nuclear,2.964668842
ENST00000444919.1,Nuclear,3.105658799
ENST00000642082.1,Nuclear,4.272878049
ENST00000638312.1,Nuclear,2.908538499
ENST00000472448.1,Nuclear,3.452988767
ENST00000413096.1,Nuclear,3.922496069
ENST00000422683.1,Nuclear,3.179774559
ENST00000540866.2,Nuclear,3.488272173
ENST00000523602.1,Nuclear,3.505386514
ENST00000533301.1,Nuclear,3.024085565
ENST00000472838.1,Nuclear,4.438547416
ENST00000624479.1,Nuclear,3.227729086
ENST00000582558.1,Nuclear,3.702762294
ENST00000411992.1,Nuclear,3.89684142
ENST00000624212.1,Nuclear,4.097011225
ENST00000634595.1,Nuclear,3.178635584
ENST00000623070.3,Nuclear,3.412295106
ENST00000608913.5,Nuclear,3.331371862
ENST00000377178.3,Nuclear,3.352453038
ENST00000411479.1,Nuclear,5.714583575
ENST00000505918.5,Nuclear,3.501156005
ENST00000552532.1,Nuclear,2.923345466
ENST00000515882.1,Nuclear,4.289002908
ENST00000624142.1,Nuclear,2.820407067
ENST00000458359.1,Nuclear,4.49976394
ENST00000602319.1,Nuclear,4.351240943
ENST00000638180.1,Nuclear,3.796011065
ENST00000591867.5,Nuclear,5.48991072
ENST00000572358.1,Nuclear,3.030566199
ENST00000456588.1,Nuclear,3.381259373
ENST00000429074.1,Nuclear,4.758496079
ENST00000622171.1,Nuclear,4.852271304
ENST00000503073.5,Nuclear,4.295666955
ENST00000594575.5,Nuclear,4.780317752
ENST00000429829.6,Nuclear,4.66258561
ENST00000504429.1,Nuclear,3.89313562
ENST00000425657.1,Nuclear,3.968613299
ENST00000615682.1,Nuclear,2.96626858
ENST00000429368.1,Nuclear,4.568028899
ENST00000611856.1,Nuclear,2.928621428
ENST00000624979.1,Nuclear,4.531979594
ENST00000468356.3,Nuclear,5.397664875
ENST00000424404.1,Nuclear,3.321154801
ENST00000637369.1,Nuclear,3.03454547
ENST00000619182.4,Nuclear,3.455234311
ENST00000589394.1,Nuclear,5.046604323
ENST00000517739.1,Nuclear,3.052535164
ENST00000519990.1,Nuclear,4.499357848
ENST00000624242.1,Nuclear,3.966078258
ENST00000605014.5,Nuclear,5.112742854
ENST00000639380.1,Nuclear,2.868457204
ENST00000567122.1,Nuclear,3.430194673
ENST00000609726.5,Nuclear,4.276414052
ENST00000436974.1,Nuclear,3.352478494
ENST00000507681.1,Nuclear,3.262420175
ENST00000428191.1,Nuclear,3.487140415
ENST00000437721.1,Nuclear,3.134810927
ENST00000630732.2,Nuclear,4.872027728
ENST00000524265.5,Nuclear,3.870131295
ENST00000545582.2,Nuclear,3.854917895
ENST00000597749.2,Nuclear,3.212661169
ENST00000623525.1,Nuclear,3.358644991
ENST00000623074.1,Nuclear,4.865922452
ENST00000607032.1,Nuclear,2.829881386
ENST00000425376.5,Nuclear,2.905615161
ENST00000616861.4,Nuclear,3.312692445
ENST00000422160.1,Nuclear,3.519136937
ENST00000451266.1,Nuclear,4.408215205
ENST00000456053.5,Nuclear,4.504285746
ENST00000588945.1,Nuclear,3.009246428
ENST00000450677.1,Nuclear,2.878577197
ENST00000586983.1,Nuclear,3.021516051
ENST00000554735.1,Nuclear,4.765385967
ENST00000587659.1,Nuclear,4.381005691
ENST00000422744.2,Nuclear,3.150937454
ENST00000598740.5,Nuclear,5.108161377
ENST00000577573.1,Nuclear,2.87025199
ENST00000557465.1,Nuclear,4.328476955
ENST00000511616.5,Nuclear,3.101712292
ENST00000453828.1,Nuclear,3.988424869
ENST00000612970.4,Nuclear,3.865450205
ENST00000614455.4,Nuclear,3.535234331
ENST00000416145.1,Nuclear,2.857154717
ENST00000555421.1,Nuclear,4.005761644
ENST00000427278.8,Nuclear,3.846265606
ENST00000609113.2,Nuclear,3.602682903
ENST00000624039.1,Nuclear,3.332295329
ENST00000589914.1,Nuclear,3.869297665
ENST00000370257.1,Nuclear,3.270359242
ENST00000564513.1,Nuclear,3.341970126
ENST00000503179.5,Nuclear,3.185733894
ENST00000618066.1,Nuclear,3.209920052
ENST00000441249.1,Nuclear,3.408370928
ENST00000560522.1,Nuclear,3.314262876
ENST00000633951.1,Nuclear,3.004798566
ENST00000499587.2,Nuclear,3.535376506
ENST00000625152.1,Nuclear,3.483414612
ENST00000638898.1,Nuclear,3.741237482
ENST00000623516.1,Nuclear,5.666256567
ENST00000524768.1,Nuclear,5.134090687
ENST00000574252.1,Nuclear,3.311024673
ENST00000551067.1,Nuclear,3.029690784
ENST00000447227.1,Nuclear,3.354855671
ENST00000608871.2,Nuclear,4.029854281
ENST00000641859.1,Nuclear,3.148797804
ENST00000509548.2,Nuclear,2.903494631
